"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"06/10/2024 11:32:32:099 -0500"

"MODEL SETTINGS"
"interest","energy_value","climate_model","capacity_s","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","sun_hrs","ptc_w","soybeans_area","aquifer_thickness","wheat_area","min_aq_thickness","nyear_s","capacity_w","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","38","""RCP4.5""","250","500","1750","1","30","4","1","90","""Repeat Historical""","6","0.003","0","300","125","30","25","2","8","1470","125","25","1","30","0.003"

"""Crop Production"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","276","true","""Corn""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","42.5","true","0","0","24","true","0","0","53","true","0","0","32","true"
"1","213","42.5","true","1","77","24","true","1","0","53","true","1","92","32","true"
"2","251","42.5","true","2","70","24","true","2","0","53","true","2","93","32","true"
"3","206","42.5","true","3","65","24","true","3","0","53","true","3","97","32","true"
"4","144","42.5","true","4","68","24","true","4","0","53","true","4","90","32","true"
"5","168","42.5","true","5","67","24","true","5","0","53","true","5","93","32","true"
"6","205","42.5","true","6","71","24","true","6","0","53","true","6","91","32","true"
"7","207","42.5","true","7","79","24","true","7","0","53","true","7","96","32","true"
"8","233","42.5","true","8","75","24","true","8","0","53","true","8","95","32","true"
"9","233","42.5","true","9","69","24","true","9","0","53","true","9","96","32","true"
"10","223","42.5","true","10","74","24","true","10","0","53","true","10","97","32","true"
"11","213","42.5","true","11","77","24","true","11","0","53","true","11","92","32","true"
"12","251","42.5","true","12","70","24","true","12","0","53","true","12","93","32","true"
"13","206","42.5","true","13","65","24","true","13","0","53","true","13","97","32","true"
"14","144","42.5","true","14","68","24","true","14","0","53","true","14","90","32","true"
"15","168","42.5","true","15","67","24","true","15","0","53","true","15","93","32","true"
"16","205","42.5","true","16","71","24","true","16","0","53","true","16","91","32","true"
"17","207","42.5","true","17","79","24","true","17","0","53","true","17","96","32","true"
"18","233","42.5","true","18","75","24","true","18","0","53","true","18","95","32","true"
"19","233","42.5","true","19","69","24","true","19","0","53","true","19","96","32","true"
"20","223","42.5","true","20","74","24","true","20","0","53","true","20","97","32","true"
"21","213","42.5","true","21","77","24","true","21","0","53","true","21","92","32","true"
"22","251","42.5","true","22","70","24","true","22","0","53","true","22","93","32","true"
"23","206","42.5","true","23","65","24","true","23","0","53","true","23","97","32","true"
"24","144","42.5","true","24","68","24","true","24","0","53","true","24","90","32","true"
"25","168","42.5","true","25","67","24","true","25","0","53","true","25","93","32","true"
"26","205","42.5","true","26","71","24","true","26","0","53","true","26","91","32","true"
"27","207","42.5","true","27","79","24","true","27","0","53","true","27","96","32","true"
"28","233","42.5","true","28","75","24","true","28","0","53","true","28","95","32","true"
"29","233","42.5","true","29","69","24","true","29","0","53","true","29","96","32","true"
"30","223","42.5","true","30","74","24","true","30","0","53","true","30","97","32","true"
"31","213","42.5","true","31","77","24","true","31","0","53","true","31","92","32","true"
"32","251","42.5","true","32","70","24","true","32","0","53","true","32","93","32","true"
"33","206","42.5","true","33","65","24","true","33","0","53","true","33","97","32","true"
"34","144","42.5","true","34","68","24","true","34","0","53","true","34","90","32","true"
"35","168","42.5","true","35","67","24","true","35","0","53","true","35","93","32","true"
"36","205","42.5","true","36","71","24","true","36","0","53","true","36","91","32","true"
"37","207","42.5","true","37","79","24","true","37","0","53","true","37","96","32","true"
"38","233","42.5","true","38","75","24","true","38","0","53","true","38","95","32","true"
"39","233","42.5","true","39","69","24","true","39","0","53","true","39","96","32","true"
"40","223","42.5","true","40","74","24","true","40","0","53","true","40","97","32","true"
"41","213","42.5","true","41","77","24","true","41","0","53","true","41","92","32","true"
